madvhc,ten,cap,captren
573,Huyện Khánh Vĩnh,HUYEN,56
574,Huyện Diên Khánh,HUYEN,56
575,Huyện Khánh Sơn,HUYEN,56
576,Huyện Trường Sa,HUYEN,56
582,Thành phố Phan Rang-Tháp Chàm,HUYEN,58
584,Huyện Bác Ái,HUYEN,58
585,Huyện Ninh Sơn,HUYEN,58
586,Huyện Ninh Hải,HUYEN,58
587,Huyện Ninh Phước,HUYEN,58
588,Huyện Thuận Bắc,HUYEN,58
589,Huyện Thuận Nam,HUYEN,58
593,Thành phố Phan Thiết,HUYEN,60
594,Thị xã La Gi,HUYEN,60
595,Huyện Tuy Phong,HUYEN,60
596,Huyện Bắc Bình,HUYEN,60
597,Huyện Hàm Thuận Bắc,HUYEN,60
598,Huyện Hàm Thuận Nam,HUYEN,60
599,Huyện Tánh Linh,HUYEN,60
600,Huyện Đức Linh,HUYEN,60
601,Huyện Hàm Tân,HUYEN,60
602,Huyện Phú Quí,HUYEN,60
608,Thành phố Kon Tum,HUYEN,62
610,Huyện Đắk Glei,HUYEN,62
611,Huyện Ngọc Hồi,HUYEN,62
612,Huyện Đắk Tô,HUYEN,62
613,Huyện Kon Plông,HUYEN,62
614,Huyện Kon Rẫy,HUYEN,62
615,Huyện Đắk Hà,HUYEN,62
616,Huyện Sa Thầy,HUYEN,62
617,Huyện Tu Mơ Rông,HUYEN,62
618,Huyện Ia H' Drai,HUYEN,62
622,Thành phố Pleiku,HUYEN,64
623,Thị xã An Khê,HUYEN,64
624,Thị xã Ayun Pa,HUYEN,64
625,Huyện KBang,HUYEN,64
626,Huyện Đăk Đoa,HUYEN,64
627,Huyện Chư Păh,HUYEN,64
628,Huyện Ia Grai,HUYEN,64
629,Huyện Mang Yang,HUYEN,64
630,Huyện Kông Chro,HUYEN,64
631,Huyện Đức Cơ,HUYEN,64
632,Huyện Chư Prông,HUYEN,64
633,Huyện Chư Sê,HUYEN,64
634,Huyện Đăk Pơ,HUYEN,64
635,Huyện Ia Pa,HUYEN,64
637,Huyện Krông Pa,HUYEN,64
638,Huyện Phú Thiện,HUYEN,64
639,Huyện Chư Pưh,HUYEN,64
643,Thành phố Buôn Ma Thuột,HUYEN,66
644,Thị Xã Buôn Hồ,HUYEN,66
645,Huyện Ea H'leo,HUYEN,66
646,Huyện Ea Súp,HUYEN,66
647,Huyện Buôn Đôn,HUYEN,66
648,Huyện Cư M'gar,HUYEN,66
649,Huyện Krông Búk,HUYEN,66
650,Huyện Krông Năng,HUYEN,66
651,Huyện Ea Kar,HUYEN,66
652,Huyện M'Đrắk,HUYEN,66
653,Huyện Krông Bông,HUYEN,66
654,Huyện Krông Pắc,HUYEN,66
655,Huyện Krông A Na,HUYEN,66
656,Huyện Lắk,HUYEN,66
657,Huyện Cư Kuin,HUYEN,66
660,Thị xã Gia Nghĩa,HUYEN,67
661,Huyện Đăk Glong,HUYEN,67
662,Huyện Cư Jút,HUYEN,67
663,Huyện Đắk Mil,HUYEN,67
